A;B;lat;long;id;date;category;location;mode;price;antigüedad;area Costruida;area privada;valor arriendo;valor administracion;parqueaderos;Habitaciones;baños;estrato
2807;701;62.120.686;-7.557.382;10280-145477;19/06/2021;Casa;MANILA;Arriendo;$ 3.500.000; 'AntigüedadEntre 0 y 5 años'; 'Área construida115 m²'; 'Área privada115 m²'; 'Valor arriendo$3.500.000';;; '1Habitaciones'; '2Baños';" '5Estrato']"""
2808;701;621.612;-75.570.656;12713-M3050089;22/09/2021;Casa;El Poblado;Arriendo;$ 2.860.000; 'AntigüedadEntre 0 y 5 años'; 'Área construida45 m²'; 'Área privada45 m²'; 'Valor arriendo$2.860.000'; 'Valor administración$999.999'; 'Parqueaderos1'; '1Habitaciones'; '1Baños'; '6Estrato'
2809;702;62.548.447;-7.560.404;11166-13187;19/06/2021;Casa;Santa Lucia;Arriendo;$ 1.450.000; 'AntigüedadEntre 10 y 20 años'; 'Área construida88 m²'; 'Área privada88 m²'; 'Valor arriendo$1.450.000';; 'Parqueaderos1'; '2Habitaciones'; '2Baños';" '4Estrato']"""
2810;702;6.230.072;;687-M2521890;24/07/2021;Casa;EL POBLADO;Arriendo;$ 4.200.000; 'AntigüedadEntre 10 y 20 años'; 'Área construida210 m²'; 'Área privada210 m²'; 'Valor arriendo$4.200.000';; 'Parqueaderos2'; '3Habitaciones'; '4Baños';" '6Estrato']"""
2811;702;622.939;-7.560.262;11393-A1256;23/08/2021;Casa;La Palma;Arriendo;$ 2.300.000; 'AntigüedadEntre 5 y 10 años'; 'Área construida100 m²'; 'Área privada100 m²'; 'Valor arriendo$2.300.000';;; '5Habitaciones'; '2Baños';" '5Estrato']"""
2812;702;625.224;;11166-M2890441;22/09/2021;Casa;La America;Arriendo;$ 1.900.000; 'AntigüedadEntre 0 y 5 años'; 'Área construida200 m²'; 'Área privada200 m²'; 'Valor arriendo$1.900.000';;; '5Habitaciones'; '2Baños'; '4Estrato'
2813;703;624.411;-7.557.964;12255-M2859274;23/08/2021;Casa;LOS CONQUISTADORES;Arriendo;$ 4.000.000; 'AntigüedadMás de 20 años'; 'Área construida220 m²'; 'Área privada220 m²'; 'Valor arriendo$4.000.000';; 'Parqueaderos1'; '5Habitaciones'; '3Baños';" '5Estrato']"""
2814;703;62.505.465;-75.603.676;MC2737268;24/07/2021;Casa;La America;Arriendo;$ 1.700.000; 'AntigüedadEntre 10 y 20 años'; 'Área construida120 m²'; 'Área privada120 m²'; 'Valor arriendo$1.700.000';; 'Parqueaderos1'; '3Habitaciones'; '2Baños';" '3Estrato']"""
2815;703;6.237.616;-75.583.664;12514-505742;19/06/2021;Casa;FÁTIMA;Arriendo;$ 2.800.000; 'AntigüedadEntre 10 y 20 años'; 'Área construida280 m²'; 'Área privada280 m²'; 'Valor arriendo$2.800.000';; 'Parqueaderos1'; '4Habitaciones'; '3Baños';" '3Estrato']"""
2816;703;62.803.454;-7.555.521;389-2249;22/09/2021;Casa;Aranjuez;Arriendo;$ 1.400.000; 'AntigüedadEntre 10 y 20 años'; 'Área construida90 m²'; 'Área privada90 m²'; 'Valor arriendo$1.400.000';; '1Parqueaderos'; '3Habitaciones'; '1Baños';
2817;704;62.184.863;-75.602.005;82-M2213033;23/08/2021;Casa;LOMA DE LOS BERNAL;Arriendo;$ 1.700.000; 'AntigüedadEntre 5 y 10 años'; 'Área construida100 m²'; 'Área privada100 m²'; 'Valor arriendo$1.700.000';; 'Parqueaderos1'; '3Habitaciones'; '3Baños';" '5Estrato']"""
2818;704;6.217.623;-75.559.265;12514-5778;24/07/2021;Casa;LAS PALMAS;Arriendo;$ 5.000.000; 'AntigüedadEntre 0 y 5 años'; 'Área construida300 m²'; 'Área privada300 m²'; 'Valor arriendo$5.000.000';;" '2Parqueaderos']"""; '3Habitaciones'; '4Baños';
2819;704;623.961;-7.560.251;11430-M2845647;19/06/2021;Casa;La Castellana;Arriendo;$ 4.000.000; 'AntigüedadEntre 0 y 5 años'; 'Área construida120 m²'; 'Área privada120 m²'; 'Valor arriendo$4.000.000';;; '5Habitaciones'; '3Baños';" '5Estrato']"""
2820;704;62.169.538;;10842-M2747791;22/09/2021;Casa;EL POBLADO CASTROPOL;Arriendo;$ 3.400.000; 'AntigüedadEntre 10 y 20 años'; 'Área construida145 m²'; 'Área privada145 m²'; 'Valor arriendo$3.400.000';; 'Parqueaderos2'; '3Habitaciones'; '4Baños'; '6Estrato'
2821;705;6.213.812;-755.746;687-M2678692;19/06/2021;Casa;EL POBLADO;Arriendo;$ 4.200.000; 'AntigüedadEntre 10 y 20 años'; 'Área construida184 m²'; 'Área privada184 m²'; 'Valor arriendo$4.200.000';; 'Parqueaderos1'; '5Habitaciones'; '2Baños';" '4Estrato']"""
2822;705;6.191.176;-7.558.162;687-M2425683;23/08/2021;Casa;EL POBLADO;Arriendo;$ 12.850.000; 'AntigüedadMás de 20 años'; 'Área construida580 m²'; 'Área privada580 m²'; 'Valor arriendo$12.850.000';; 'Parqueaderos4'; '5Habitaciones'; '3Baños';" '6Estrato']"""
2823;705;61.784.334;-75.559.166;2895-1286538;24/07/2021;Casa;SAN LUCAS;Arriendo;$ 5.000.000; 'AntigüedadEntre 5 y 10 años'; 'Área construida300 m²'; 'Área privada300 m²'; 'Valor arriendo$5.000.000';; 'Parqueaderos4'; '5Habitaciones'; '5Baños';" '6Estrato']"""
2824;705;62.406.273;-7.559.764;2511-455;22/09/2021;Casa;Laureles;Arriendo;$ 7.500.000; 'AntigüedadMás de 20 años'; 'Área construida230 m²'; 'Área privada230 m²'; 'Valor arriendo$7.500.000';; 'Parqueaderos1'; '5Habitaciones'; '5Baños'; '5Estrato'
2825;706;62.600.317;-75.594.124;277-M2916777;24/07/2021;Casa;Occidente, Estadio;Arriendo;$ 3.500.000; 'AntigüedadMás de 20 años'; 'Área construida186 m²'; 'Área privada186 m²'; 'Valor arriendo$3.500.000';; 'Parqueaderos1'; '5Habitaciones'; '3Baños';" '5Estrato']"""
2826;706;6.231.681;-7.559.267;2364-D13641;23/08/2021;Casa;Belen Rosales;Arriendo;$ 5.000.000; 'AntigüedadEntre 5 y 10 años'; 'Área construida210 m²'; 'Área privada210 m²'; 'Valor arriendo$5.000.000';;; '4Habitaciones'; '3Baños';" '5Estrato']"""
2827;706;62.344.217;-7.560.279;82-M1937980;19/06/2021;Casa;LAURELES;Arriendo;$ 6.000.000; 'AntigüedadEntre 5 y 10 años'; 'Área construida252 m²'; 'Área privada252 m²'; 'Valor arriendo$6.000.000';;; '5Habitaciones'; '5Baños';" '5Estrato']"""
2828;706;625.541;-7.555.806;11395-M2875167;22/09/2021;Casa;Prado;Arriendo;$ 1.500.000; 'AntigüedadMás de 20 años'; 'Área construida100 m²'; 'Área privada100 m²'; 'Valor arriendo$1.500.000';;; '5Habitaciones'; '2Baños'; '4Estrato'
2829;707;6.211.662;-7.555.187;687-M2385774;24/07/2021;Casa;EL POBLADO;Arriendo;$ 6.800.000; 'AntigüedadMás de 20 años'; 'Área construida290 m²'; 'Área privada290 m²'; 'Valor arriendo$6.800.000';; 'Parqueaderos3'; '5Habitaciones'; '4Baños';" '5Estrato']"""
2830;707;62.786.074;-755.524;737-6477;19/06/2021;Casa;MANRIQUE;Arriendo;$ 2.000.000; 'AntigüedadEntre 0 y 5 años'; 'Área construida149 m²'; 'Área privada149 m²'; 'Valor arriendo$2.000.000';;; '1Habitaciones'; '1Baños';" '3Estrato']"""
2831;707;61.889.386;-7.556.037;2364-D15651;23/08/2021;Casa;Los Balsos;Arriendo;$ 60.000.000; 'AntigüedadEntre 10 y 20 años'; 'Área construida2000 m²'; 'Área privada2000 m²'; 'Valor arriendo$60.000.000';;; '5Habitaciones'; '5Baños';" '5Estrato']"""
2832;707;0;0;10214-M2981799;22/09/2021;Casa;EL POBLADO MANILA;Arriendo;$ 3.300.000; 'AntigüedadEntre 10 y 20 años'; 'Área construida110 m²'; 'Área privada110 m²'; 'Valor arriendo$3.300.000';;; '5Habitaciones'; '3Baños'; '6Estrato'
2833;708;6.176.689;-7.556.656;687-M2578428;23/08/2021;Casa;EL POBLADO;Arriendo;$ 3.900.000; 'AntigüedadMás de 20 años'; 'Área construida260 m²'; 'Área privada260 m²'; 'Valor arriendo$3.900.000';; 'Parqueaderos2'; '3Habitaciones'; '4Baños';" '6Estrato']"""
2834;708;62.121.882;-7.557.236;687-M2729916;24/07/2021;Casa;EL POBLADO MANILA;Arriendo;$ 4.700.000; 'AntigüedadMás de 20 años'; 'Área construida210 m²'; 'Área privada210 m²'; 'Valor arriendo$4.700.000';; 'Parqueaderos1'; '5Habitaciones'; '4Baños';" '6Estrato']"""
2835;708;6.236.977;-7.558.865;849-M2880904;19/06/2021;Casa;Boston;Arriendo;$ 1.200.000; 'AntigüedadMás de 20 años'; 'Área construida130 m²'; 'Área privada130 m²'; 'Valor arriendo$1.200.000';;; '4Habitaciones'; '2Baños';" '3Estrato']"""
2836;708;6.203.033;-7.556.846;687-M2637841;22/09/2021;Casa;y Arriendo, EL POBLADO;Venta y Arriendo;$ 2.550.000.000; 'AntigüedadEntre 5 y 10 años'; 'Área construida560 m²'; 'Área privada560 m²'; 'Valor arriendo$26.300.000';;; '5Habitaciones'; '2Baños'; '5Estrato'
2837;709;6.214.307;-7.556.242;687-M891901;19/06/2021;Casa;y Arriendo, Poblado;Venta y Arriendo;$ 4.000.000.000; 'AntigüedadEntre 10 y 20 años'; 'Área construida1040 m²'; 'Área privada1040 m²'; 'Valor arriendo$15.700.000';; 'Parqueaderos1'; '5Habitaciones'; '1Baños';" '6Estrato']"""
