A;B;lat;long;id;date;category;location;mode;price;antigüedad;area Costruida;area privada;valor arriendo;valor administracion;parqueaderos;Habitaciones;baños;estrato
1;0;61.757.836;-7.556.048;2264-42249;24/07/2021;Casa;SAN LUCAS;Arriendo;$ 6.000.000; 'AntigüedadEntre 10 y 20 años'; 'Área construida250 m²'; 'Área privada250 m²'; 'Valor arriendo$6.000.000';;" '0Parqueaderos']"""; '3Habitaciones'; '3Baños';
2;0;625.729;;11166-M2880488;19/06/2021;Casa;Santa Lucia;Arriendo;$ 1.200.000; 'AntigüedadEntre 0 y 5 años'; 'Área construida85 m²'; 'Área privada85 m²'; 'Valor arriendo$1.200.000';;; '3Habitaciones'; '1Baños';" '4Estrato']"""
3;0;625.492;-7.559.788;11166-M3023679;23/08/2021;Casa;Velodromo;Arriendo;$ 1.900.000; 'AntigüedadEntre 0 y 5 años'; 'Área construida120 m²'; 'Área privada120 m²'; 'Valor arriendo$1.900.000';;; '5Habitaciones'; '3Baños';" '5Estrato']"""
4;0;6.259.681;-7.558.603;MC2658892;22/09/2021;Casa;Los colores;Arriendo;$ 1.600.000; 'AntigüedadEntre 10 y 20 años'; 'Área construida105 m²'; 'Área privada95 m²'; 'Valor arriendo$1.600.000';;; '4Habitaciones'; '3Baños'; '4Estrato'
5;1;623.843;-7.559.635;4855-M2892084;24/07/2021;Casa;Laureles;Arriendo;$ 3.000.000; 'AntigüedadEntre 0 y 5 años'; 'Área construida257 m²'; 'Área privada257 m²'; 'Valor arriendo$3.000.000';;; '3Habitaciones'; '2Baños';" '5Estrato']"""
6;1;62.095.733;-7.557.681;2364-15883;19/06/2021;Casa;Patio Bonito;Arriendo;$ 11.000.000; 'AntigüedadEntre 10 y 20 años'; 'Área construida560 m²'; 'Área privada560 m²'; 'Valor arriendo$11.000.000';;; '4Habitaciones'; '4Baños';" '6Estrato']"""
7;1;624.764;-7.556.582;11392-M2870687;23/08/2021;Casa;Los Colores;Arriendo;$ 5.500.000; 'AntigüedadEntre 0 y 5 años'; 'Área construida350 m²'; 'Área privada350 m²'; 'Valor arriendo$5.500.000';;; '5Habitaciones'; '5Baños';" '5Estrato']"""
8;1;6.209.506;-7.559.207;12116-M2869639;22/09/2021;Casa;GUAYABAL;Arriendo;$ 1.600.000; 'AntigüedadEntre 10 y 20 años'; 'Área construida65 m²'; 'Área privada65 m²'; 'Valor arriendo$1.600.000';;; '2Habitaciones'; '2Baños'; '4Estrato'
9;2;62.144.313;-7.559.793;82-M2207016;23/08/2021;Casa;BELEN;Arriendo;$ 1.700.000; 'AntigüedadEntre 5 y 10 años'; 'Área construida100 m²'; 'Área privada100 m²'; 'Valor arriendo$1.700.000';; 'Parqueaderos1'; '3Habitaciones'; '3Baños';" '5Estrato']"""
10;2;6.251.708;-755.629;2264-38453;24/07/2021;Casa;CENTRO MED;Arriendo;$ 3.100.000; 'AntigüedadEntre 10 y 20 años'; 'Área construida180 m²'; 'Área privada180 m²'; 'Valor arriendo$3.100.000';;" '0Parqueaderos']"""; '1Habitaciones'; '2Baños';
11;2;630.758;-7.557.186;11395-M2847831;19/06/2021;Casa;Pedregal;Arriendo;$ 750.000; 'AntigüedadMás de 20 años'; 'Área construida60 m²'; 'Área privada60 m²'; 'Valor arriendo$750.000';;; '2Habitaciones'; '1Baños';" '2Estrato']"""
12;2;6.240.194;-7.560.267;12777-M3030897;22/09/2021;Casa;Laureles;Arriendo;$ 2.200.000; 'AntigüedadEntre 0 y 5 años'; 'Área construida120 m²'; 'Área privada120 m²'; 'Valor arriendo$2.200.000';;; '1Habitaciones'; '2Baños'; '5Estrato'
13;3;62.417.355;-7.560.766;2364-D16122;24/07/2021;Casa;La Castellana;Arriendo;$ 2.100.000; 'AntigüedadEntre 0 y 5 años'; 'Área construida160 m²'; 'Área privada160 m²'; 'Valor arriendo$2.100.000';; 'Parqueaderos1'; '3Habitaciones'; '3Baños';" '5Estrato']"""
14;3;622.112;-756.079;241-1432;19/06/2021;Casa;Aliadas;Arriendo;$ 2.200.000; 'AntigüedadEntre 0 y 5 años'; 'Área construida160 m²'; 'Área privada160 m²'; 'Valor arriendo$2.200.000';; 'Parqueaderos1'; '5Habitaciones'; '2Baños';" '5Estrato']"""
15;3;623.543;-7.559.874;12476-M3023383;23/08/2021;Casa;Miravalle;Arriendo;$ 1.800.000; 'AntigüedadEntre 0 y 5 años'; 'Área construida80 m²'; 'Área privada80 m²'; 'Valor arriendo$1.800.000'; 'Valor administración$10.000';; '3Habitaciones'; '2Baños';" '4Estrato']"""
16;3;62.786.074;-755.524;737-6477;22/09/2021;Casa;MANRIQUE;Arriendo;$ 2.000.000; 'AntigüedadEntre 0 y 5 años'; 'Área construida149 m²'; 'Área privada149 m²'; 'Valor arriendo$2.000.000';;; '1Habitaciones'; '1Baños'; '3Estrato'
17;4;6.231.998;-75.556.175;4855-11290;24/07/2021;Casa;Laureles;Arriendo;$ 2.200.000; 'AntigüedadEntre 0 y 5 años'; 'Área construida107 m²'; 'Área privada107 m²'; 'Valor arriendo$2.200.000';;; '4Habitaciones'; '3Baños';" '5Estrato']"""
18;4;62.519.736;-7.559.782;11394-A1249;23/08/2021;Casa;Velodromo;Arriendo;$ 3.500.000; 'AntigüedadEntre 10 y 20 años'; 'Área construida160 m²'; 'Área privada160 m²'; 'Valor arriendo$3.500.000';;; '1Habitaciones'; '2Baños';" '5Estrato']"""
19;4;6.207.018;-75.564.926;4673-29385;19/06/2021;Casa;Provenza;Arriendo;$ 6.500.000; 'AntigüedadEntre 10 y 20 años'; 'Área construida267 m²'; 'Área privada267 m²'; 'Valor arriendo$6.500.000';;; '5Habitaciones'; '3Baños';" '7Estrato']"""
20;4;6.199.094;.;12257-M2871392;22/09/2021;Casa;Poblado;Arriendo;$ 8.000.000; 'AntigüedadEntre 0 y 5 años'; 'Área construida450 m²'; 'Área privada450 m²'; 'Valor arriendo$8.000.000';; 'Parqueaderos4'; '4Habitaciones'; '4Baños'; '6Estrato'
21;5;62.338.777;-75.585.556;4673-34513;24/07/2021;Casa;Malibu;Arriendo;$ 4.000.000; 'AntigüedadEntre 10 y 20 años'; 'Área construida200 m²'; 'Área privada200 m²'; 'Valor arriendo$4.000.000';; 'Parqueaderos1'; '5Habitaciones'; '4Baños';" '4Estrato']"""
22;5;6.243.199;-7.559.249;2895-1803387;19/06/2021;Casa;BOLIVARIANA;Arriendo;$ 7.000.000; 'AntigüedadEntre 10 y 20 años'; 'Área construida270 m²'; 'Área privada270 m²'; 'Valor arriendo$7.000.000';; 'Parqueaderos1'; '5Habitaciones'; '4Baños';" '5Estrato']"""
23;5;6.260.103;-75.566.765;4673-26645;23/08/2021;Casa;Jesus Nazareno;Arriendo;$ 2.800.000; 'AntigüedadEntre 10 y 20 años'; 'Área construida130 m²'; 'Área privada130 m²'; 'Valor arriendo$2.800.000';;;;;" '7Estrato']"""
24;5;6.176.468;-7.556.478;687-M2335293;22/09/2021;Casa;EL POBLADO;Arriendo;$ 4.200.000; 'AntigüedadMás de 20 años'; 'Área construida220 m²'; 'Área privada220 m²'; 'Valor arriendo$4.200.000';; 'Parqueaderos2'; '3Habitaciones'; '4Baños'; '6Estrato'
25;6;6.185.662;-7.557.065;687-M2426020;23/08/2021;Casa;y Arriendo, EL POBLADO;Venta y Arriendo;$ 1.900.000.000; 'AntigüedadMás de 20 años'; 'Área construida388 m²'; 'Área privada388 m²'; 'Valor arriendo$10.000.000'; 'Valor administración$1.000.000'; 'Parqueaderos4'; '3Habitaciones'; '5Baños';" '6Estrato']"""
26;6;62.411.547;-7.560.702;2364-D15167;24/07/2021;Casa;La Castellana;Arriendo;$ 4.500.000; 'AntigüedadEntre 5 y 10 años'; 'Área construida340 m²'; 'Área privada340 m²'; 'Valor arriendo$4.500.000';; 'Parqueaderos1'; '4Habitaciones'; '4Baños';" '5Estrato']"""
27;6;6.212.449;-7.557.053;2364-15699;19/06/2021;Casa;Manila;Arriendo;$ 5.000.000; 'AntigüedadEntre 10 y 20 años'; 'Área construida180 m²'; 'Área privada180 m²'; 'Valor arriendo$5.000.000';;; '1Habitaciones'; '2Baños';" '4Estrato']"""
28;6;6.251.017;-75.561.165;4673-33769;22/09/2021;Casa;Boston;Arriendo;$ 4.500.000; 'AntigüedadEntre 10 y 20 años'; 'Área construida170 m²'; 'Área privada170 m²'; 'Valor arriendo$4.500.000';;; '5Habitaciones'; '4Baños'; '3Estrato'
29;7;6.214.307;-7.556.242;687-M891901;24/07/2021;Casa;y Arriendo, Poblado;Venta y Arriendo;$ 4.000.000.000; 'AntigüedadEntre 10 y 20 años'; 'Área construida1040 m²'; 'Área privada1040 m²'; 'Valor arriendo$15.700.000';; 'Parqueaderos1'; '5Habitaciones'; '1Baños';" '6Estrato']"""
30;7;6.212.047;-7.555.456;687-M2698836;19/06/2021;Casa;y Arriendo, El poblado;Venta y Arriendo;$ 1.850.000.000; 'AntigüedadEntre 10 y 20 años'; 'Área construida345 m²'; 'Área privada345 m²'; 'Valor arriendo$12.000.000'; 'Valor administración$1.000.000'; 'Parqueaderos2'; '4Habitaciones'; '5Baños';" '6Estrato']"""
31;7;62.401.314;-75.601.166;5076-207861;23/08/2021;Casa;Laureles;Arriendo;$ 4.000.000; 'AntigüedadEntre 10 y 20 años'; 'Área construida120 m²'; 'Área privada120 m²'; 'Valor arriendo$4.000.000';;; '4Habitaciones'; '3Baños';" '5Estrato']"""
32;7;61.975.393;-755.684;687-M1358837;22/09/2021;Casa;EL POBLADO;Arriendo;$ 3.700.000; 'AntigüedadEntre 5 y 10 años'; 'Área construida340 m²'; 'Área privada340 m²'; 'Valor arriendo$3.700.000';; 'Parqueaderos3'; '4Habitaciones'; '4Baños'; '6Estrato'
33;8;6.228.401;-7.560.019;12514-505650;19/06/2021;Casa;LA PALMA;Arriendo;$ 4.300.000; 'AntigüedadEntre 10 y 20 años'; 'Área construida272 m²'; 'Área privada272 m²'; 'Valor arriendo$4.300.000';; 'Parqueaderos1'; '3Habitaciones'; '4Baños';" '4Estrato']"""
34;8;6.274.147;-7.557.831;11431-1324;24/07/2021;Casa;La Pilarica;Arriendo;$ 2.200.000; 'AntigüedadEntre 10 y 20 años'; 'Área construida240 m²'; 'Área privada240 m²'; 'Valor arriendo$2.200.000';;; '5Habitaciones'; '5Baños';" '4Estrato']"""
35;8;625.298;-7.556.869;4660-10003807;23/08/2021;Casa;CARABOBO;Arriendo;$ 14.000.000; 'AntigüedadEntre 10 y 20 años'; 'Área construida1 m²'; 'Área privada0 m²'; 'Valor arriendo$14.000.000';;; '5Habitaciones'; '5Baños';" '3Estrato']"""
36;8;62.011.642;-7.555.076;2895-1287125;22/09/2021;Casa;EL TESORO;Arriendo;$ 4.200.000; 'AntigüedadEntre 5 y 10 años'; 'Área construida242 m²'; 'Área privada242 m²'; 'Valor arriendo$4.200.000';; 'Parqueaderos4'; '3Habitaciones'; '4Baños'; '6Estrato'
37;9;62.046.657;-7.556.292;687-M1955157;23/08/2021;Casa;EL POBLADO;Arriendo;$ 14.000.000; 'AntigüedadMás de 20 años'; 'Área construida400 m²'; 'Área privada400 m²'; 'Valor arriendo$14.000.000'; 'Valor administración$809.000'; 'Parqueaderos2'; '4Habitaciones'; '4Baños';" '6Estrato']"""
38;9;6.224.546;-7.559.966;12514-500686;19/06/2021;Casa;LA GLORIA;Arriendo;$ 1.700.000; 'AntigüedadEntre 10 y 20 años'; 'Área construida100 m²'; 'Área privada100 m²'; 'Valor arriendo$1.700.000';;; '3Habitaciones'; '2Baños';" '3Estrato']"""
39;9;6.258.537;-7.559.798;4673-35267;24/07/2021;Casa;Calasanz;Arriendo;$ 8.800.000; 'AntigüedadEntre 10 y 20 años'; 'Área construida550 m²'; 'Área privada550 m²'; 'Valor arriendo$8.800.000';;; '5Habitaciones'; '5Baños';" '7Estrato']"""
40;9;6.214.335;-7.555.258;687-M2556054;22/09/2021;Casa;EL POBLADO;Arriendo;$ 13.200.000; 'AntigüedadEntre 10 y 20 años'; 'Área construida400 m²'; 'Área privada400 m²'; 'Valor arriendo$13.200.000';; 'Parqueaderos4'; '3Habitaciones'; '5Baños'; '6Estrato'
41;10;6.196.374;-755.565;687-M2436661;24/07/2021;Casa;y Arriendo, EL POBLADO;Venta y Arriendo;$ 4.500.000.000; 'AntigüedadMás de 20 años'; 'Área construida700 m²'; 'Área privada700 m²'; 'Valor arriendo$11.300.000'; 'Valor administración$821.000'; 'Parqueaderos2'; '4Habitaciones'; '5Baños';" '6Estrato']"""
42;10;62.505.465;-75.603.676;MC2737268;23/08/2021;Casa;La America;Arriendo;$ 1.700.000; 'AntigüedadEntre 10 y 20 años'; 'Área construida120 m²'; 'Área privada120 m²'; 'Valor arriendo$1.700.000';; 'Parqueaderos1'; '3Habitaciones'; '2Baños';" '3Estrato']"""
43;10;624.355;-7.560.706;509-M2897962;19/06/2021;Casa;La Castellana;Arriendo;$ 1.300.000; 'AntigüedadEntre 10 y 20 años'; 'Área construida90 m²'; 'Área privada90 m²'; 'Valor arriendo$1.300.000';;; '3Habitaciones'; '1Baños';" '4Estrato']"""
44;10;6.235.416;-75.613.205;MC3015055;22/09/2021;Casa;LA VIOLETAS;Arriendo;$ 900.000; 'AntigüedadEntre 10 y 20 años'; 'Área construida75 m²'; 'Área privada75 m²'; 'Valor arriendo$900.000';;; '2Habitaciones'; '2Baños'; '3Estrato'
45;11;0;;82-M2222200;24/07/2021;Casa;CALASANZ;Arriendo;$ 2.700.000; 'AntigüedadEntre 5 y 10 años'; 'Área construida140 m²'; 'Área privada140 m²'; 'Valor arriendo$2.700.000';; 'Parqueaderos1'; '4Habitaciones'; '2Baños';" '5Estrato']"""
46;11;62.509;;11166-M3027331;23/08/2021;Casa;Florida Nueva;Arriendo;$ 1.600.000; 'AntigüedadEntre 0 y 5 años'; 'Área construida115 m²'; 'Área privada115 m²'; 'Valor arriendo$1.600.000';;; '3Habitaciones'; '2Baños';" '4Estrato']"""
47;11;623.436;-7.555.418;11166-M2873784;19/06/2021;Casa;La Milagrosa;Arriendo;$ 1.000.000; 'AntigüedadEntre 5 y 10 años'; 'Área construida67 m²'; 'Área privada67 m²'; 'Valor arriendo$1.000.000';;; '3Habitaciones'; '1Baños';" '3Estrato']"""
48;11;6.223.837;-7.558.204;12514-M3035155;22/09/2021;Casa;Santa Fe;Arriendo;$ 1.350.000; 'AntigüedadEntre 0 y 5 años'; 'Área construida82 m²'; 'Área privada82 m²'; 'Valor arriendo$1.350.000';;; '3Habitaciones'; '2Baños'; '4Estrato'
49;12;62.314.534;-7.559.493;MC2906166;23/08/2021;Casa;BELEN ROSALES - Suroccidente;Arriendo;$ 3.900.000; 'AntigüedadMás de 20 años'; 'Área construida219 m²'; 'Área privada219 m²'; 'Valor arriendo$3.900.000';; 'Parqueaderos2'; '5Habitaciones'; '4Baños';" '4Estrato']"""
50;12;6.205.391;-7.555.349;2895-1910854;24/07/2021;Casa;EL TESORO;Arriendo;$ 12.400.000; 'AntigüedadEntre 10 y 20 años'; 'Área construida88 m²'; 'Área privada88 m²'; 'Valor arriendo$12.400.000';; 'Parqueaderos2'; '4Habitaciones'; '4Baños';" '6Estrato']"""
51;12;626.078;-7.559.706;4229-M2824772;19/06/2021;Casa;Estadio;Arriendo;$ 7.600.000; 'AntigüedadMás de 20 años'; 'Área construida490 m²'; 'Área privada490 m²'; 'Valor arriendo$7.600.000';;; '5Habitaciones'; '4Baños';" '5Estrato']"""
52;12;62.106;-7.556.784;4673-29895;22/09/2021;Casa;Lalinde;Arriendo;$ 12.000.000; 'AntigüedadMás de 20 años'; 'Área construida609 m²'; 'Área privada609 m²'; 'Valor arriendo$12.000.000';;; '5Habitaciones'; '4Baños'; '7Estrato'
53;13;61.964.326;;525-M2887278;19/06/2021;Casa;Poblado;Arriendo;$ 6.800.000; 'AntigüedadEntre 0 y 5 años'; 'Área construida250 m²'; 'Área privada250 m²'; 'Valor arriendo$6.800.000';; 'Parqueaderos1'; '4Habitaciones'; '4Baños';" '6Estrato']"""
54;13;62.289;1;11166-M3023623;23/08/2021;Casa;Los Alpes;Arriendo;$ 2.500.000; 'AntigüedadEntre 10 y 20 años'; 'Área construida100 m²'; 'Área privada100 m²'; 'Valor arriendo$2.500.000';;; '4Habitaciones'; '2Baños';" '3Estrato']"""
55;13;62.400.007;-75.589.386;2895-1792649;24/07/2021;Casa;LOS CONQUISTADORES;Arriendo;$ 4.500.000; 'AntigüedadEntre 10 y 20 años'; 'Área construida224 m²'; 'Área privada224 m²'; 'Valor arriendo$4.500.000';;; '4Habitaciones'; '3Baños';" '5Estrato']"""
56;13;62.677.293;-7.559.444;10280-M3075003;22/09/2021;Casa;Los Colores;Arriendo;$ 2.500.000; 'AntigüedadEntre 0 y 5 años'; 'Área construida110 m²'; 'Área privada110 m²'; 'Valor arriendo$2.500.000';; 'Parqueaderos1'; '3Habitaciones'; '3Baños'; '5Estrato'
57;14;61.912.184;-75.567.665;687-M2856882;24/07/2021;Casa;EL POBLADO;Arriendo;$ 4.300.000; 'AntigüedadEntre 10 y 20 años'; 'Área construida300 m²'; 'Área privada300 m²'; 'Valor arriendo$4.300.000';; 'Parqueaderos2'; '4Habitaciones'; '4Baños';" '6Estrato']"""
58;14;6.258.537;-7.559.798;4673-35267;19/06/2021;Casa;Calasanz;Arriendo;$ 8.800.000; 'AntigüedadEntre 10 y 20 años'; 'Área construida550 m²'; 'Área privada550 m²'; 'Valor arriendo$8.800.000';;; '5Habitaciones'; '5Baños';" '7Estrato']"""
59;14;6.248.285;-7.559.682;2895-M2413746;23/08/2021;Casa;LAURELES;Arriendo;$ 111.111; 'AntigüedadEntre 5 y 10 años'; 'Área construida80 m²'; 'Área privada80 m²'; 'Valor arriendo$111.111';;; '2Habitaciones'; '2Baños';" '4Estrato']"""
60;14;622.354;-7.558.328;11397-M3074051;22/09/2021;Casa;Guayabal;Arriendo;$ 1.500.000; 'AntigüedadEntre 10 y 20 años'; 'Área construida128 m²'; 'Área privada128 m²'; 'Valor arriendo$1.500.000';;; '3Habitaciones'; '2Baños'; '4Estrato'
61;15;620.339;-7.556.866;687-M2021904;24/07/2021;Casa;y Arriendo, EL POBLADO;Venta y Arriendo;$ 3.500.000.000; 'AntigüedadEntre 10 y 20 años'; 'Área construida531 m²'; 'Área privada531 m²'; 'Valor arriendo$25.000.000';; 'Parqueaderos2'; '5Habitaciones'; '3Baños';" '6Estrato']"""
62;15;620.582;-7.556.275;2364-14387;23/08/2021;Casa;Poblado;Arriendo;$ 6.000.000; 'AntigüedadRemodelado'; 'Área construida350 m²'; 'Área privada350 m²'; 'Valor arriendo$6.000.000';; 'Parqueaderos1'; '3Habitaciones'; '4Baños';" '6Estrato']"""
63;15;6.241.225;-7.559.763;82-M1985703;19/06/2021;Casa;LAURELES;Arriendo;$ 4.000.000; 'AntigüedadEntre 5 y 10 años'; 'Área construida250 m²'; 'Área privada250 m²'; 'Valor arriendo$4.000.000';;; '5Habitaciones'; '5Baños';" '5Estrato']"""
64;15;62.292.304;-7.559.806;2511-463;22/09/2021;Casa;Belen Rosales;Arriendo;$ 3.500.000; 'AntigüedadMás de 20 años'; 'Área construida220 m²'; 'Área privada220 m²'; 'Valor arriendo$3.500.000';;; '2Habitaciones'; '2Baños'; '4Estrato'
65;16;61.965.904;;687-M2717036;24/07/2021;Casa;EL POBLADO;Arriendo;$ 7.000.000; 'AntigüedadEntre 10 y 20 años'; 'Área construida350 m²'; 'Área privada350 m²'; 'Valor arriendo$7.000.000';; 'Parqueaderos4'; '5Habitaciones'; '5Baños';" '6Estrato']"""
66;16;62.172.556;-7.555.482;687-M3039555;23/08/2021;Casa;EL POBLADO;Arriendo;$ 17.500.000; 'AntigüedadEntre 10 y 20 años'; 'Área construida930 m²'; 'Área privada930 m²'; 'Valor arriendo$17.500.000';; 'Parqueaderos4'; '3Habitaciones'; '5Baños';" '6Estrato']"""
67;16;61.994.214;-7.555.078;10842-M2700098;19/06/2021;Casa;EL POBLADO LA CALERA;Arriendo;$ 11.000.000; 'AntigüedadEntre 10 y 20 años'; 'Área construida500 m²'; 'Área privada500 m²'; 'Valor arriendo$11.000.000';; 'Parqueaderos2'; '4Habitaciones'; '5Baños';" '6Estrato']"""
68;16;62.131.367;-7.557.212;2895-1336083;22/09/2021;Casa;MANILA;Arriendo;$ 2.600.000; 'AntigüedadEntre 5 y 10 años'; 'Área construida110 m²'; 'Área privada110 m²'; 'Valor arriendo$2.600.000';;; '4Habitaciones'; '1Baños'; '5Estrato'
69;17;6.184.017;-7.555.615;687-M2743435;19/06/2021;Casa;EL POBLADO LOS BALSOS;Arriendo;$ 23.000.000; 'AntigüedadEntre 5 y 10 años'; 'Área construida900 m²'; 'Área privada900 m²'; 'Valor arriendo$23.000.000';; 'Parqueaderos4'; '4Habitaciones'; '5Baños';" '6Estrato']"""
70;17;62.144.885;-7.557.077;2895-1781767;24/07/2021;Casa;MANILA;Arriendo;$ 10.000.000; 'AntigüedadEntre 10 y 20 años'; 'Área construida320 m²'; 'Área privada320 m²'; 'Valor arriendo$10.000.000';; 'Parqueaderos1'; '5Habitaciones'; '4Baños';" '5Estrato']"""
71;17;62.386.627;-7.556.479;12133-1400;23/08/2021;Casa;Via Las Palmas - El Poblado;Arriendo;$ 19.800.000; 'AntigüedadEntre 5 y 10 años'; 'Área construida600 m²'; 'Área privada2010 m²'; 'Valor arriendo$19.800.000';;; '5Habitaciones'; '5Baños';" 'nullEstrato']"""
72;17;626.092;-7.559.679;11166-M3058993;22/09/2021;Casa;Calasanz;Arriendo;$ 2.000.000; 'AntigüedadMás de 20 años'; 'Área construida120 m²'; 'Área privada120 m²'; 'Valor arriendo$2.000.000';;; '4Habitaciones'; '3Baños'; '5Estrato'
73;18;62.664.957;-75.594.826;5076-209530;24/07/2021;Casa;Los Colores;Arriendo;$ 1.600.000; 'AntigüedadEntre 10 y 20 años'; 'Área construida98 m²'; 'Área privada98 m²'; 'Valor arriendo$1.600.000'; 'Valor administración$1.600.000'; 'Parqueaderos1'; '3Habitaciones'; '3Baños';" '4Estrato']"""
74;18;0;0;10091-M2697369;19/06/2021;Casa;y Arriendo, Altos del escobero;Venta y Arriendo;$ 1.600.000.000; 'AntigüedadEntre 0 y 5 años'; 'Área construida400 m²'; 'Área privada400 m²'; 'Valor arriendo$15.000.000'; 'Valor administración$545.000'; 'Parqueaderos4'; '2Habitaciones'; '4Baños';" '6Estrato']"""
75;18;620.871;-75.574.646;4673-34790;23/08/2021;Casa;Astorga;Arriendo;$ 13.000.000; 'AntigüedadEntre 10 y 20 años'; 'Área construida400 m²'; 'Área privada640 m²'; 'Valor arriendo$13.000.000';; 'Parqueaderos4'; '5Habitaciones'; '5Baños';" '7Estrato']"""
76;18;6.241.791;-7.559.671;2511-626;22/09/2021;Casa;Laureles;Arriendo;$ 2.800.000; 'AntigüedadEntre 0 y 5 años'; 'Área construida194 m²'; 'Área privada194 m²'; 'Valor arriendo$2.800.000';; 'Parqueaderos2'; '4Habitaciones'; '2Baños'; '4Estrato'
77;19;0;0;687-M1938542;24/07/2021;Casa;y Arriendo, EL POBLADO;Venta y Arriendo;$ 1.200.000.000; 'AntigüedadMás de 20 años'; 'Área construida280 m²'; 'Área privada280 m²'; 'Valor arriendo$4.700.000'; 'Valor administración$650.000'; 'Parqueaderos4'; '4Habitaciones'; '5Baños';" '6Estrato']"""
78;19;61.915.812;-7.556.833;687-M2614119;19/06/2021;Casa;EL POBLADO;Arriendo;$ 3.900.000; 'AntigüedadMás de 20 años'; 'Área construida280 m²'; 'Área privada280 m²'; 'Valor arriendo$3.900.000';; 'Parqueaderos2'; '4Habitaciones'; '5Baños';" '6Estrato']"""
79;19;6.207.783;-7.556.674;2364-14063;23/08/2021;Casa;Provenza;Arriendo;$ 8.000.000; 'AntigüedadEntre 5 y 10 años'; 'Área construida365 m²'; 'Área privada405 m²'; 'Valor arriendo$8.000.000';;; '1Habitaciones'; '4Baños';" '6Estrato']"""
80;19;62.268.305;-7.556.144;2264-45164;22/09/2021;Casa;LOMA DEL INDIO;Arriendo;$ 2.000.000; 'AntigüedadEntre 10 y 20 años'; 'Área construida118 m²'; 'Área privada118 m²'; 'Valor arriendo$2.000.000';;; '3Habitaciones'; '2Baños'; '4Estrato'
81;20;62.138.176;-7.556.351;11704-103093;24/07/2021;Casa;Colombia;Arriendo;$ 12.000.000; 'AntigüedadEntre 10 y 20 años'; 'Área construida600 m²'; 'Área privada845 m²'; 'Valor arriendo$12.000.000';; 'Parqueaderos3'; '4Habitaciones'; '5Baños';" '6Estrato']"""
82;20;62.525.296;-7.556.473;402-M2583869;19/06/2021;Casa;EL CENTRO;Arriendo;$ 7.500.000; 'AntigüedadMás de 20 años'; 'Área construida710 m²'; 'Área privada710 m²'; 'Valor arriendo$7.500.000';;; '5Habitaciones'; '5Baños';" '4Estrato']"""
83;20;6.209.506;-7.559.207;12116-M2869639;23/08/2021;Casa;GUAYABAL;Arriendo;$ 1.600.000; 'AntigüedadEntre 10 y 20 años'; 'Área construida65 m²'; 'Área privada65 m²'; 'Valor arriendo$1.600.000';;; '2Habitaciones'; '2Baños';" '4Estrato']"""
84;20;6.247.732;-7.560.105;2364-D14303;22/09/2021;Casa;Laureles;Arriendo;$ 5.000.000; 'AntigüedadEntre 10 y 20 años'; 'Área construida280 m²'; 'Área privada280 m²'; 'Valor arriendo$5.000.000';; 'Parqueaderos1'; '2Habitaciones'; '2Baños'; '5Estrato'
85;21;6.187.298;-7.565.923;687-M2675565;24/07/2021;Casa;EL POBLADO;Arriendo;$ 7.800.000; 'AntigüedadEntre 10 y 20 años'; 'Área construida300 m²'; 'Área privada300 m²'; 'Valor arriendo$7.800.000';; 'Parqueaderos2'; '3Habitaciones'; '4Baños';" '6Estrato']"""
86;21;62.178.593;-7.559.306;277-3775504;19/06/2021;Casa;Occidente, Belen Las Playas;Arriendo;$ 1.300.000; 'AntigüedadMás de 20 años'; 'Área construida85 m²'; 'Área privada85 m²'; 'Valor arriendo$1.300.000';;; '3Habitaciones'; '2Baños';" '3Estrato']"""
87;21;62.160.816;-7.556.721;509-1472;23/08/2021;Casa;Poblado;Arriendo;$ 12.000.000; 'AntigüedadEntre 10 y 20 años'; 'Área construida756 m²'; 'Área privada756 m²'; 'Valor arriendo$12.000.000';; 'Parqueaderos4'; '5Habitaciones'; '4Baños';" '6Estrato']"""
88;21;6.216.775;;687-M2218371;22/09/2021;Casa;y Arriendo, Poblado;Venta y Arriendo;$ 795.000.000; 'AntigüedadEntre 10 y 20 años'; 'Área construida260 m²'; 'Área privada260 m²'; 'Valor arriendo$4.000.000'; 'Valor administración$425.000'; 'Parqueaderos2'; '4Habitaciones'; '4Baños'; '6Estrato'
89;22;62.064.667;-75.575.294;687-M2753551;24/07/2021;Casa;EL POBLADO;Arriendo;$ 13.000.000; 'AntigüedadEntre 10 y 20 años'; 'Área construida650 m²'; 'Área privada650 m²'; 'Valor arriendo$13.000.000';; 'Parqueaderos4'; '5Habitaciones'; '5Baños';" '6Estrato']"""
90;22;62.255.616;-7.556.079;525-3240443;23/08/2021;Casa;San Diego;Arriendo;$ 2.200.000; 'AntigüedadEntre 0 y 5 años'; 'Área construida130 m²'; 'Área privada130 m²'; 'Valor arriendo$2.200.000';; 'Parqueaderos1'; '4Habitaciones'; '4Baños';" '4Estrato']"""
91;22;62.082.987;-7.556.686;2264-AC-19915;19/06/2021;Casa;LAS LOMAS;Arriendo;$ 5.500.000; 'AntigüedadEntre 10 y 20 años'; 'Área construida150 m²'; 'Área privada150 m²'; 'Valor arriendo$5.500.000';;; '1Habitaciones'; '1Baños';" '6Estrato']"""
